SINGLE/CLUMP,Photos date,IPAM date,microPAM Date,Species,Crosstype,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Tank,Cassette,Plate.Slide,Well,Mom,Dad,Family,Genetic,Recruit,Survival T6,F microPAM,Fm' microPAM,YII_micro,F (IPAM),Fm' (IPAM),Y(II) (IPAM),IndID,Cone,popcross
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,408,1289,A,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,1,1,,,,0.0078,0.0083,0,9.408.1289.1,C80,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,638,1552,B,Jewell6,Palms4,Jewell6xPalms4,T.F43,1,1,,,,0.0127,0.0137,0,9.638.1552.1,C39,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,638,1516,D,Jewell3,Davies1,Jewell3xDavies1,T.F58,3*,1,,,,0.1623,0.1559,0,9.638.1516.3*,C101,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,638,1984,D,Jewell8,Palms4,Jewell8xPalms4,T.F47,3,1,,,,0.0093,0.0098,0,9.638.1984.3,C59,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,638,1587,B,Palms2,Palms5,Palms2xPalms5,T.F35,1,1,,,,0.0333,0.0422,0,9.638.1587.1,C86,PALxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,638,1497,D,Davies8,Davies6,Davies8xDavies6,T.F14,2*,1,,,,0.0069,0.0093,0,9.638.1497.2*,C70,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,633,1463,C,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1*,1,,,,0.0147,0.0108,0,9.633.1463.1*,C85,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,633,1204,C,Switzer4,Davies8,Switzer4xDavies8,T.F31,2,1,,,,0.05,0.0475,0,9.633.1204.2,C72,SWIxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,633,1990,A,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,,,,0.0098,0.0064,0,9.633.1990.1,C55,JEWxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,633,1906,A,Jewell6,Palms1,Jewell6xPalms1,T.F38,1,1,,,,0.0078,0.0064,0,9.633.1906.1,C31,JEWxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,633,1955,B,Palms5,Palms4,Palms5xPalms4,T.F34,3*,1,,,,0.0127,0.0103,0,9.633.1955.3*,C79,PALxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,664,2896,C,Palms4,Davies1,Palms4xDavies1,T.F36,2*,1,,,,0.1529,0.1471,0,9.664.2896.2*,C81,PALxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,664,2924,A,Parke4,Davies1,Parke4xDavies1,T.F21,3,1,,,,0.0093,0.0118,0,9.664.2924.3,C66,PARxDAV
C,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,664,1279,C,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,2,1,,,,0.0088,0.0088,0,9.664.1279.2,C7,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,664,1267,A,Parke5,Davies10,Parke5xDavies10,T.F23,2,1,,,,0.0123,0.0113,0,9.664.1267.2,C88,PARxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,664,1220,B,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,,,,0.0039,0.0034,0,9.664.1220.1,C67,SWIxDAV
C,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,395,1291,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,3,1,,,,0.0064,0.0039,0,9.395.1291.3,C3,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,395,1669,D,Switzer2,Davies1,Switzer2xDavies1,T.F26,1,1,,,,0.0108,0.0093,0,9.395.1669.1,C96,SWIxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,395,2994,C,Parke2,Parke5,Parke2xParke5,T.F8,2,1,,,,0.0118,0.0142,0,9.395.2994.2,C90,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,395,2987,D,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,0,,,,0.0108,0.0108,0,9.395.2987.1,C93,SWIxSWI
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,395,1218,D,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,7*,1,,,,0.1441,0.1338,0,9.395.1218.7*,C9,SWIxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,637,1613,C,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,,,,0.0103,0.0093,0,9.637.1613.1,C71,JEWxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,637,1439,D,Davies13,Davies1,Davies13xDavies1,T.F66,3*,0,,,,0.0083,0.0034,0,9.637.1439.3*,C102,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,637,2964,D,Parke4,Parke2,Parke4xParke2,T.F5,1*,1,,,,0.0103,0.0088,0,9.637.2964.1*,C76,PARxPAR
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,637,2805,A,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,1*,1,,,,0.0108,0.0074,0,9.637.2805.1*,C13,PALxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,637,1433,B,Jewell8,Jewell3,Jewell8xJewell3,T.F68,2,1,,,,0.0069,0.0069,0,9.637.1433.2,C100,JEWxJEW
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,367,1237,D,Palms2,Davies1,Palms2xDavies1,T.F37,3*,1,,,,0.0681,0.0623,0,9.367.1237.3*,C84,PALxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,367,1408,C,Jewell8,Jewell2,Jewell8xJewell2,T.F1,1,1,,,,0.0098,0.0083,0,9.367.1408.1,C74,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,367,2334,D,Davies1,Davies8,Davies1xDavies8,T.F16,2,1,,,,0.1721,0.1725,0,9.367.2334.2,C82,DAVxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,367,2837,D,Davies8,Davies10,Davies8xDavies10,T.F15,2*,1,,,,0.0093,0.0044,0,9.367.2837.2*,C91,DAVxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,JEWELL,9,367,1997,C,Jewell8,Palms5,Jewell8xPalms5,T.F53,2,1,,,,0.0113,0.0083,0,9.367.1997.2,C29,JEWxPAL
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,422,1262,A,Switzer6Bulk,Davies6Bulk,Switzer6BulkxDavies6Bulk,Model5rep1,1,1,,,,0.2064,0.3652,0.435,10.422.1262.1,C9,SWIxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,422,1449,D,Davies8,Davies6,Davies8xDavies6,T.F14,1,1,,,,0.299,0.5255,0.431,10.422.1449.1,C70,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,422,1542,A,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,,,,0.2451,0.4373,0.439,10.422.1542.1,C101,JEWxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,422,1448,C,Jewell8,Jewell2,Jewell8xJewell2,T.F1,3,1,,,,0.2402,0.4539,0.471,10.422.1448.3,C74,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,422,1698,A,Switzer2,Davies6,Switzer2xDavies6,T.F28,1,1,,,,0.2245,0.4373,0.487,10.422.1698.1,C98,SWIxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,492,1655,A,Switzer2,Davies1,Switzer2xDavies1,T.F26,1,1,,,,0.2608,0.3922,0.335,10.492.1655.1,C96,SWIxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,492,1929,A,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,,,,0.6049,0.5015,0,10.492.1929.1,C55,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,492,1996,A,Jewell8,Palms5,Jewell8xPalms5,T.F53,1,1,,,,0.376,0.6152,0.389,10.492.1996.1,C29,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,492,1902,A,Palms5,Palms4,Palms5xPalms4,T.F34,1,1,,,,0.4034,0.602,0.33,10.492.1902.1,C79,PALxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,424,3144,A,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,,,,0.2235,0.4309,0.481,10.424.3144.1,C71,JEWxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,424,2831,D,Switzer6,Davies1,Switzer6xDavies1,T.F29,5,1,,,,0.3721,0.6343,0.413,10.424.2831.5,C68,SWIxDAV
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,424,2825,B,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,7,1,,,,0.2132,0.3701,0.424,10.424.2825.7,C13,PALxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,424,2796,C,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,5,1,,,,0.2951,0.5157,0.428,10.424.2796.5,C80,SWIxSWI
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,424,2978,D,Davies6,Davies1,Davies6xDavies1,T.F13,2,1,,,,0.2358,0.4176,0.435,10.424.2978.2,C75,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,386,1672,D,Jewell7,Davies1,Jewell7xDavies1,T.F62,4,1,,,,0.1725,0.3108,0.445,10.386.1672.4,C38,JEWxDAV
C,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,386,2832,D,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,7,1,,,,0.1956,0.3324,0.412,10.386.2832.7,C3,PARxPAR
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,386,2998,A,Parke2,Parke5,Parke2xParke5,T.F8,3,1,,,,0.2931,0.4735,0.381,10.386.2998.3,C90,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,386,1441,B,Jewell8,Jewell3,Jewell8xJewell3,T.F68,3,1,,,,0.2343,0.4044,0.421,10.386.1441.3,C100,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,386,2883,B,Palms4,Davies1,Palms4xDavies1,T.F36,1,1,,,,0.2647,0.4015,0.341,10.386.2883.1,C81,PALxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,686,1484,A,Davies13,Davies1,Davies13xDavies1,T.F66,1,1,,,,0.4029,0.6069,0.336,10.686.1484.1,C102,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,686,2706,B,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,,,,0.3623,0.5951,0.391,10.686.2706.1,C67,SWIxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,686,1918,D,Jewell6,Palms1,Jewell6xPalms1,T.F38,3,1,,,,0.2353,0.3784,0.378,10.686.1918.3,C31,JEWxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,686,1252,A,Jewell8,Davies6,Jewell8xDavies6,T.F18,2,1,,,,0.3348,0.5529,0.395,10.686.1252.2,C87,JEWxDAV
C,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,686,2781,A,Jewell(bottom),Davies6Bulk,Jewell(bottom)xDavies6bulk,Model1rep1,1,1,,,,0.3961,0.6093,0.35,10.686.2781.1,C1,JEWxDAV
C,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,487,1228,A,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,1,1,,,,0.1338,0.2618,0.489,10.487.1228.1,C5,PARxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,487,1294,A,Jewell8,Davies1,Jewell8xDavies1,T.F64,2,1,,,,0.2525,0.4603,0.452,10.487.1294.2,C65,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,487,2326,A,Parke5,Parke4,Parke5xParke4,T.F6,1,1,,,,0.2657,0.5088,0.478,10.487.2326.1,C83,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,487,1993,B,Palms4,Palms2,Palms4xPalms2,T.F33,2,1,,,,0.2039,0.4162,0.51,10.487.1993.2,C94,PALxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,487,1278,D,Jewell8,Davies13,Jewell8xDavies13,T.F65,3,1,,,,0.1029,0.2167,0.525,10.487.1278.3,C62,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,414,2875,C,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,2,1,,,,0.2368,0.4235,0.441,10.414.2875.2,C69,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,414,1292,A,Palms2,Davies1,Palms2xDavies1,T.F37,1,1,,,,0.2328,0.3961,0.412,10.414.1292.1,C84,PALxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,414,1471,A,Jewell3,Palms1,Jewell3xPalms1,T.F40,1,1,,,,0.3069,0.5211,0.411,10.414.1471.1,C60,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,414,2377,D,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,1,,,,0.2941,0.4833,0.391,10.414.2377.1,C93,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,414,1249,B,Jewell2,Palms1,Jewell2xPalms1,T.F39,2,1,,,,0.2676,0.4343,0.384,10.414.1249.2,C30,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,657,2367,C,Davies1,Davies8,Davies1xDavies8,T.F16,4,1,,,,0.2838,0.5324,0.467,10.657.2367.4,C82,DAVxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,657,1505,C,Palms2,Palms5,Palms2xPalms5,T.F35,3,1,,,,0.1672,0.3353,0.501,10.657.1505.3,C86,PALxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,657,1209,B,Davies8,Davies10,Davies8xDavies10,T.F15,2,1,,,,0.3544,0.6314,0.439,10.657.1209.2,C91,DAVxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,657,1998,B,Jewell8,Palms4,Jewell8xPalms4,T.F47,4,1,,,,0.2466,0.4863,0.493,10.657.1998.4,C59,JEWxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,657,2895,C,Switzer4,Davies8,Switzer4xDavies8,T.F31,5,1,,,,0.0569,0.1152,0.506,10.657.2895.5,C72,SWIxDAV
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,AMB,D1,10,670,2865,B,Switzer6Bulk,Switzer6Bulk,Switzer6BulkxSwitzer6Bulk,Model4rep1,4,1,,,,0.1525,0.2603,0.414,10.670.2865.4,C7,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,670,2821,D,Parke4,Parke2,Parke4xParke2,T.F5,3,1,,,,0.2559,0.4735,0.46,10.670.2821.3,C76,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,670,2310,C,Parke5,Davies10,Parke5xDavies10,T.F23,1,1,,,,0.199,0.373,0.466,10.670.2310.1,C88,PARxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,670,2360,D,Parke4,Davies1,Parke4xDavies1,T.F21,7,1,,,,0.2701,0.4706,0.426,10.670.2360.7,C66,PARxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,AMB,D1,10,670,2763,D,Parke5,Davies6,Parke5xDavies6,T.F22,7,1,,,,0.1912,0.3716,0.485,10.670.2763.7,C78,PARxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,400,2856,C,Palms2,Davies1,Palms2xDavies1,T.F37,1,1,,,,0.2265,0.3691,0.386,11.400.2856.1,C84,PALxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,400,1407,D,Jewell2,Jewell8,Jewell2xJewell8,T.F4,1,1,,,,0.1613,0.2779,0.42,11.400.1407.1,C85,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,400,1685,A,Switzer2,Davies6,Switzer2xDavies6,T.F28,1,1,,,,0.2814,0.4407,0.362,11.400.1685.1,C98,SWIxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,400,1663,D,Jewell8,Davies1,Jewell8xDavies1,T.F17,1,1,,,,0.2583,0.4123,0.373,11.400.1663.1,C71,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,692,2308,D,Switzer7,Davies10,Switzer7xDavies10,T.F32,1,1,,,,0.2902,0.4897,0.407,11.692.2308.1,C67,SWIxDAV
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,D1,11,692,2970,A,Parke6Bulk,Parke6Bulk,Parke6bulkxParke6bulk,Model2rep1,1,1,,,,0.3598,0.6593,0.454,11.692.2970.1,C3,PARxPAR
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,692,1207,A,Parke4,Davies1,Parke4xDavies1,T.F21,1,1,,,,0.3882,0.5667,0.315,11.692.1207.1,C66,PARxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,692,1591,C,Palms2,Palms5,Palms2xPalms5,T.F35,4,1,,,,0.2627,0.5123,0.487,11.692.1591.4,C86,PALxPAL
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,692,2941,B,Parke5,Davies10,Parke5xDavies10,T.F23,3,1,,,,0.175,0.3377,0.482,11.692.2941.3,C88,PARxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,706,1223,D,Davies8,Davies10,Davies8xDavies10,T.F15,4,1,,,,0.3466,0.5206,0.334,11.706.1223.4,C91,DAVxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,706,2858,A,Switzer7,Switzer6,Switzer7xSwitzer6,T.F10,1,1,,,,0.3039,0.4936,0.384,11.706.2858.1,C80,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,706,2963,A,Jewell8,Jewell2,Jewell8xJewell2,T.F1,1,1,,,,0.3451,0.5343,0.354,11.706.2963.1,C74,JEWxJEW
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,706,1254,A,Jewell3,Palms1,Jewell3xPalms1,T.F40,1,1,,,,0.4123,0.5858,0.296,11.706.1254.1,C60,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,706,1533,C,Jewell3,Davies1,Jewell3xDavies1,T.F58,1,1,,,,0.2672,0.3912,0.317,11.706.1533.1,C101,JEWxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,491,2324,B,Parke2,Parke5,Parke2xParke5,T.F8,2,1,,,,0.2328,0.4044,0.424,11.491.2324.2,C90,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,491,2840,B,Parke5,Parke4,Parke5xParke4,T.F6,4,1,,,,0.2235,0.4245,0.473,11.491.2840.4,C83,PARxPAR
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,491,2900,A,Switzer4,Davies8,Switzer4xDavies8,T.F31,1,1,,,,0.149,0.2505,0.405,11.491.2900.1,C72,SWIxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,491,2709,B,Jewell8,Davies1,Jewell8xDavies1,T.F64,5,1,,,,0.176,0.3407,0.483,11.491.2709.5,C65,JEWxDAV
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,D1,11,491,2767,C,Parke6Bulk,Davies6Bulk,Parke6bulkxDavies6bulk,Model3rep1,3,1,,,,0.1642,0.3157,0.48,11.491.2767.3,C5,PARxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,632,3132,A,Jewell5,Palms4,Jewell5xPalms4,T.F45,2,1,,,,0.2529,0.3902,0.352,11.632.3132.2,C34,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,687,2370,D,Switzer6,Davies1,Switzer6xDavies1,T.F29,5,1,,,,0.248,0.4152,0.403,11.687.2370.5,C68,SWIxDAV
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,687,2929,C,Switzer6,Switzer4,Switzer6xSwitzer4,T.F9,1,1,,,,0.2525,0.4436,0.431,11.687.2929.1,C93,SWIxSWI
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,687,2833,B,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,4,1,,,,0.2544,0.4657,0.454,11.687.2833.4,C69,SWIxSWI
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,687,1919,B,Jewell8,Palms1,Jewell8xPalms1,T.F42,1,1,,,,0.2265,0.4034,0.439,11.687.1919.1,C55,JEWxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,682,2717,C,Jewell8,Davies13,Jewell8xDavies13,T.F65,1*,1,,,,0.3328,0.4255,0.218,11.682.2717.1*,C62,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,682,2940,B,Palms4,Davies1,Palms4xDavies1,T.F36,5,1,,,,0.3926,0.498,0.212,11.682.2940.5,C81,PALxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,682,1521,B,Palms5,Palms4,Palms5xPalms4,T.F34,5,1,,,,0.5235,0.7093,0.262,11.682.1521.5,C79,PALxPAL
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,682,2371,B,Parke4,Parke2,Parke4xParke2,T.F5,2,1,,,,0.377,0.4691,0.196,11.682.2371.2,C76,PARxPAR
S,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,682,1659,C,Jewell7,Davies1,Jewell7xDavies1,T.F62,2,1,,,,0.3137,0.3853,0.186,11.682.1659.2,C38,JEWxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,655,2828,C,Parke5,Davies6,Parke5xDavies6,T.F22,5,1,,,,0.2618,0.4485,0.416,11.655.2828.5,C78,PARxDAV
C,01.03.21,02.03.21,,A.ten,IndivCross,Juvenile,2021,T0,27.5C,HOT,D1,11,655,2938,B,Jewell8,Davies6,Jewell8xDavies6,T.F18,2,1,,,,0.3549,0.5961,0.405,11.655.2938.2,C87,JEWxDAV
S,01.03.21,02.03.21,,A.ten,BulkCross,Juvenile,2021,T0,27.5C,HOT,D1,11,655,2791,B,PalmsBulk,Davies6Bulk,PalmsBulkxDavies6Bulk,Model6rep1,4,1,,,,0.3358,0.5691,0.41,11.655.2791.4,C13,PALxDAV
