Species,CrossType,Lifestage,Year,Timepoint,Temp2,Temp,Treatment,Cone,Mom,Dad,Cross,popcross2,Family,Tank,Tank.Name,Cassette,Plate.Slide,No. juveniles on slide,Well,Recruit,IndID,Clump/Single,Survival,microPAM ,Live Coral ID Number,Area (mm^2),Coral Red Mean,Coral Green Mean,Coral Blue Mean,Coral Hue Mean,Coral Saturation Mean,Coral Brightness Mean,F microPAM,Fm' microPAM,Y(II) microPAM,popcross
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,1,SC1,384,3196,3,D,1,SC1.384.3196.1,S,1,,2,0.3863,143.2909,141.3576,134.1771,33.7327,16.0835,143.4963,,,,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C50,Martin11,Arlington6,Martin11 x Arlington6,MartinxArlington,H.F61,1,SC1,394,1293,1,C,1,SC1.394.1293.1,S,1,X,1,0.3143,151.793,150.654,144.8916,35.3353,11.6962,152.1498,0.0137,0.0289,0,MARxARL
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C112,Martin3,WOO4a,Martin3 x WOO4a,MartinxWOO,H.F3,1,SC1,394,1693,1,A,1,SC1.394.1693.1,S,1,X,1,0.6152,150.1903,148.1497,141.537,34.7049,14.6042,150.5281,0.0113,0.025,0,MARxWOO
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,435,1243,2,A,2,SC1.435.1243.2,S,1,,1,0.5562,155.3859,155.0968,149.6735,43.6964,10.3326,156.1712,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,1,SC1,435,1243,2,B,1,SC1.435.1243.1,S,1,X,0,0.33,142.692,142.39,135.081,43.058,14.574,143.576,0.0534,0.1186,0.55,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C14,PAL5,Martin15,PAL5 x Martin15,PALxMartin,H.F103,1,SC1,435,2314,1,B,1,SC1.435.2314.1,S,1,X,1,0.9454,154.4802,154.2878,148.2441,43.0151,11.1117,155.2482,0.0196,0.0407,0,PALxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,1,SC1,435,2397,1,D,1,SC1.435.2397.1,S,1,X,1,0.327,143.8632,143.2673,137.0422,41.1917,12.5943,144.4113,0.0152,0.0279,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C67,Davies16,Davies17,Davies16 x Davies17,DaviesxDavies,H.F83,1,SC1,494,1463,1,B,1,SC1.494.1463.1,S,1,X,1,1.1472,158.1757,158.5966,153.7519,47.3034,8.4345,159.2635,0.0167,0.0343,0,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,1,SC1,494,1684,2,B,2,SC1.494.1684.2,C,1,,2,1.1059,159.5086,159.5227,154.0038,46.892,9.9805,160.4135,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,1,SC1,494,1684,2,C,1,SC1.494.1684.1,S,1,X,1,1.2898,158.0361,157.2622,150.1958,38.1692,12.9601,158.5173,0.0118,0.0225,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,1,SC1,494,2394,2,A,1,SC1.494.2394.1,S,1,X,1,0.9847,156.1635,156.8653,152.465,55.265,8.0573,157.4861,0.0157,0.0353,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,1,SC1,494,2394,2,B,2,SC1.494.2394.2,S,1,,2,0.766,156.4992,157.3069,152.6998,52.3499,8.0742,157.8339,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C10,Davies15,Davies16,Davies15 x Davies16,DaviesxDavies,H.F82,1,SC1,502,1204,1,D,1,SC1.502.1204.1,S,1,X,0,0.4,133.693,131.441,121.924,34.84,22.199,133.861,0.0142,0.027,0,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C126,Davies14,Martin17,Davies14 x Martin17,DaviesxMartin,H.F42,1,SC1,652,2720,1,C,1,SC1.652.2720.1,S,1,X,0,0.159,127.347,123.154,108.99,32.644,36.249,127.373,0.0201,0.0392,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C53,WOO4,Martin3,WOO4 x Martin3,WOOxMartin,H.F1,1,SC1,652,2841,1,B,1,SC1.652.2841.1,S,1,X,3,0.8028,149.824,149.7579,145.164,45.2907,8.9491,150.6364,0.0044,0.0074,0,WOOxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,2,SC2,366,2920,1,D,1,SC2.366.2920.1,S,1,X,0,0.314,149.883,146.608,137.006,31.552,21.667,149.942,0.0113,0.0201,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,2,SC2,366,2980,1,B,1,SC2.366.2980.1,S,1,X,4,0.7752,156.6477,155.3789,149.6879,36.3148,11.4456,156.996,0.0167,0.0343,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C112,Martin3,WOO4a,Martin3 x WOO4a,MartinxWOO,H.F3,2,SC2,398,2398,2,A,1,SC2.398.2398.1,S,1,X,1,1.1355,147.4243,146.2454,139.6451,39.8781,13.7001,147.8408,0.0225,0.052,0.566,MARxWOO
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C112,Martin3,WOO4a,Martin3 x WOO4a,MartinxWOO,H.F3,2,SC2,398,2398,2,C,2,SC2.398.2398.2,S,1,,2,0.4165,135.9157,135.6964,132.1768,53.248,8.3873,136.7039,,,,MARxWOO
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,2,SC2,398,2753,2,A,1,SC2.398.2753.1,S,1,X,1,0.6361,148.162,146.3628,139.8679,33.0045,14.1558,148.3607,0.0279,0.0598,0.533,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,2,SC2,398,2753,2,D,2,SC2.398.2753.2,S,1,,2,0.9204,148.8991,146.5724,138.7552,32.7272,17.0133,149.0042,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C67,Davies16,Davies17,Davies16 x Davies17,DaviesxDavies,H.F83,2,SC2,398,2795,1,B,1,SC2.398.2795.1,S,1,X,0,0.501,143.754,139.704,126.726,32.142,29.74,143.765,0.0338,0.076,0.555,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,2,SC2,414,1234,2,B,2,SC2.414.1234.2,S,1,,0,0.189,130.881,128.745,118.679,35.432,23.983,131.123,,,,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,2,SC2,414,1234,2,C,1,SC2.414.1234.1,S,1,X,0,0.403,128.029,127.283,121.557,40.03,13.593,128.591,0.0368,0.0853,0.569,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,2,SC2,414,2380,2,A,2,SC2.414.2380.2,S,1,,0,0.288,130.418,129.566,122.136,39.2,16.904,130.954,,,,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,2,SC2,414,2380,2,D,1,SC2.414.2380.1,S,1,X,1,0.479,136.0084,134.9275,128.9029,38.6629,13.8571,136.4743,0.0206,0.0456,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C50,Martin11,Arlington6,Martin11 x Arlington6,MartinxArlington,H.F61,2,SC2,439,1482,2,A,1,SC2.439.1482.1,S,1,X,2,0.4233,155.1721,155.7511,154.5556,89.8506,5.3866,156.7904,0.0235,0.0466,0,MARxARL
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C50,Martin11,Arlington6,Martin11 x Arlington6,MartinxArlington,H.F61,2,SC2,439,1482,2,A,2,SC2.439.1482.2,S,1,,1,0.757,157.3021,158.3175,157.5766,100.7076,4.6241,159.2003,,,,MARxARL
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,439,1951,5,A,3,SC2.439.1951.3,S,1,X,3,1.0367,149.7516,150.6725,147.26,62.658,6.7312,151.1912,0.0603,0.1275,0.527,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,439,1951,5,A,2,SC2.439.1951.2,C,1,,2,1.2224,147.3803,149.4163,147.6344,85.9536,5.0087,149.687,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,439,1951,5,B,5,SC2.439.1951.5,S,1,,5,1.2755,153.1099,153.4983,148.6867,47.1311,8.8056,154.2121,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,439,1951,5,D,1,SC2.439.1951.1,S,1,,0,0.757,128.3,124.719,111.765,34.072,33.583,128.452,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,439,1951,5,D,4,SC2.439.1951.4,S,1,,4,1.0588,146.1715,147.13,143.8017,62.3147,6.759,147.6184,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C53,WOO4,Martin3,WOO4 x Martin3,WOOxMartin,H.F1,2,SC2,439,2840,1,B,1,SC2.439.2840.1,S,1,X,0,0.57,136.18,136.31,132.65,53.576,8.254,137.156,0.0029,0.0064,0,WOOxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,480,2949,5,A,4,SC2.480.2949.4,S,1,,4,0.3613,147.7739,147.3967,143.9676,57.8942,7.7329,148.4809,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,480,2949,5,A,2,SC2.480.2949.2,S,1,,2,0.5302,143.6737,143.3435,138.8896,42.8342,9.2983,144.3489,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,480,2949,5,B,1,SC2.480.2949.1,S,1,,1,0.7674,150.5742,150.1258,146.1505,49.2305,8.6258,151.3244,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,480,2949,5,C,5,SC2.480.2949.5,S,1,,5,0.5091,146.2606,145.6668,141.6367,42.2974,8.6515,146.8012,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,480,2949,5,D,3,SC2.480.2949.3,S,1,X,3,0.6759,142.7017,141.9715,137.9003,45.9988,9.2113,143.2206,0.0235,0.0525,0.551,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C48,Davies6,Martin2,Davies6 x Martin2,DaviesxMartin,H.F87,2,SC2,480,2950,2,A,1,SC2.480.2950.1,S,1,,1,0.8023,146.5399,145.1689,137.8761,35.8032,15.0613,146.8233,,,,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C48,Davies6,Martin2,Davies6 x Martin2,DaviesxMartin,H.F87,2,SC2,480,2950,2,A,2,SC2.480.2950.2,S,1,X,2,0.5695,148.0786,145.3011,134.5244,34.1581,22.9804,148.1576,0.0059,0.0103,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,484,2989,1,B,1,SC2.484.2989.1,S,1,X,1,0.5879,141.8398,140.3668,134.7429,36.0898,13.2221,142.1332,0.0123,0.0255,0,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C103,Davies12,Martin15,Davies12 x Martin15,DaviesxMartin,H.F102,2,SC2,484,2998,1,D,1,SC2.484.2998.1,S,1,X,0,0.271,144.052,140.289,127.056,33.562,29.758,144.169,0.0314,0.074,0.576,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C67,Davies16,Davies17,Davies16 x Davies17,DaviesxDavies,H.F83,2,SC2,625,2842,1,D,1,SC2.625.2842.1,S,1,X,0,0.564,135.301,132.976,121.796,36.776,25.662,135.626,0.0049,0.0083,0,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C82,Davies10,Martin17,Davies10 x Martin17,DaviesxMartin,H.F39,2,SC2,625,2975,2,A,1,SC2.625.2975.1,S,1,X,1,1.0445,135.6012,135.4413,130.6533,49.9724,10.8585,136.4795,0.0059,0.0088,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C82,Davies10,Martin17,Davies10 x Martin17,DaviesxMartin,H.F39,2,SC2,625,2975,2,C,2,SC2.625.2975.2,S,1,,2,0.7885,144.4804,143.3138,136.8726,37.0294,13.6843,144.875,,,,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C10,Davies15,Davies16,Davies15 x Davies16,DaviesxDavies,H.F82,2,SC2,692,1901,1,D,1,SC2.692.1901.1,S,1,X,0,0.389,130.313,129.737,122.183,42.976,16.661,130.887,0.0132,0.0147,0,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,2,SC2,692,1980,1,B,1,SC2.692.1980.1,S,1,X,2,1.2242,154.8534,155.884,151.53,56.2788,7.8957,156.4012,0.0382,0.0794,0.519,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C11,Martin17,Davies7,Martin17 x Davies7,MartinxDavies,H.F68,2,SC2,692,1994,1,C,1,SC2.692.1994.1,S,1,X,1,0.3091,144.3939,143.431,134.4924,38.6776,17.6928,144.7921,0.0255,0.0623,0.591,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,709,1513,3,B,1,SC2.709.1513.1,S,1,,1,0.813,161.7302,159.2189,150.9885,32.8483,16.8544,161.8762,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,709,1513,3,C,3,SC2.709.1513.3,S,1,,3,1.0447,148.3038,147.9031,143.4821,43.4111,9.0271,148.9504,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C75,Martin14,Martin3,Martin14 x Martin3,MartinxMartin,H.F6,2,SC2,709,1513,3,C,2,SC2.709.1513.2,S,1,X,2,0.7307,154.5222,153.5283,147.9203,38.016,11.2642,154.9662,0.0608,0.1324,0.541,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C95,Martin15,Davies12,Martin15 x Davies12,MartinxDavies,H.F75,2,SC2,709,2886,3,A,3,SC2.709.2886.3,S,1,,0,0.261,147.53,141.41,122.76,32.091,42.925,147.544,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C95,Martin15,Davies12,Martin15 x Davies12,MartinxDavies,H.F75,2,SC2,709,2886,3,B,2,SC2.709.2886.2,S,1,,0,0.313,134.345,134.81,131.896,62.439,6.702,135.434,,,,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C95,Martin15,Davies12,Martin15 x Davies12,MartinxDavies,H.F75,2,SC2,709,2886,3,D,1,SC2.709.2886.1,S,1,X,0,0.769,134.32,134.07,129.83,57.435,10.57,135.252,0.0324,0.075,0.569,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,3,SC3,276,2369,2,B,1,SC3.276.2369.1,S,1,,0,0.296,121.48,118.35,107.85,33.199,28.785,121.572,,,,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C6,Davies8,Davies13,Davies8 x Davies13,DaviesxDavies,H.F15,3,SC3,276,2369,2,C,2,SC3.276.2369.2,C,1,X,1,0.476,145.8013,145.4608,139.7228,42.6449,11.3608,146.4918,0.0152,0.0225,0,DAVxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C50,Martin11,Arlington6,Martin11 x Arlington6,MartinxArlington,H.F61,3,SC3,365,1483,1,B,1,SC3.365.1483.1,C,1,X,2,1.0382,160.0198,161.6272,158.317,71.115,6.5768,162.0283,0.0088,0.0142,0,MARxARL
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,3,SC3,365,2364,2,B,1,SC3.365.2364.1,S,1,X,0,0.464,144.364,142.692,132.802,37.219,20.7,144.728,0.0255,0.0529,0.519,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C76,Davies8,Martin14,Davies8 x Martin14,DaviesxMartin,H.F45,3,SC3,365,2364,2,C,2,SC3.365.2364.2,S,1,,4,0.7097,143.0165,144.2914,138.9234,55.2177,10.0268,144.6972,,,,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C82,Davies10,Martin17,Davies10 x Martin17,DaviesxMartin,H.F39,3,SC3,365,2880,1,B,1,SC3.365.2880.1,S,1,X,1,0.523,143.0713,143.9195,138.4233,50.4563,10.2301,144.444,0.0083,0.0137,0,DAVxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C95,Martin15,Davies12,Martin15 x Davies12,MartinxDavies,H.F75,3,SC3,421,1296,1,A,1,SC3.421.1296.1,S,1,X,0,0.378,144.303,143.282,134.245,41.048,18.303,144.567,0.0299,0.0647,0.538,MARxDAV
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,3,SC3,421,1491,3,B,2,SC3.421.1491.2,S,1,,4,1.2979,158.2217,159.8527,155.8613,62.7761,7.0012,160.1521,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,3,SC3,421,1491,3,C,1,SC3.421.1491.1,S,1,,3,0.4547,146.3919,145.631,137.7237,39.4193,15.5154,146.9222,,,,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C119,Martin9,Martin14,Martin9 x Martin14,MartinxMartin,H.F90,3,SC3,421,1491,3,C,3,SC3.421.1491.3,S,1,X,5,0.3348,142.6814,143.1841,138.3038,47.1577,9.5649,143.8772,0.0461,0.0784,0.413,MARxMAR
A. hyacinthus,IndivCross,Juvenile,2022,0,27.5,AMB,SED,C56,Martin11,Martin14,Martin11 x Martin14,MartinxMartin,H.F20,3,SC3,464,1935,2,A,1,SC3.464.1935.1,S,1,X,5,0.7906,148.2011,151.41,149.798,99.4419,6.0941,151.6535,0.0123,0.0172,0,MARxMAR
